cena,lokacija,velikost,leto,vrsta,podvrsta,prodajalec,opis 
"895.000,00",ROŽNA DOLINA,426,1964,Hiša, Samostojna,"Stoja trade, d.o.o., Ljubljana ","Prodamo meščansko stanovanjsko vilo z potencialom za fizično predelavo v 4 velika stanovanja. Hiša ni pod spomeniškim varstvom. Nahaja se na dobri in urbani lokaciji z vso infrastrukturo.    V oglasu lahko vidite načrte ki so jih prodajalci pripravili za svoj rabo, vendar se je življenjska situacija spremenila in sedaj ne želijo prenavljati hiše. Hiša je v prvotnem stanju in jo je potrebno prenoviti.     Etažnost hiše:   - Nizko pritličje: 89,10m2   - Visoko pritličje: 81,13 m2   - Prvo nadstropje: 87,16 m2   - Mansarda: 73,18 m2   - Garaža: 31,7 m2   - Delavnica: 63,89 m2     SKUPAJ: 426,3 m2     Konstrukcija hiše:   Temelji so betonski, pasovni. Nosilni obodni zidovi so opečnat. Stropne konstrukcije nad etažami so Monta plošče. Notranja komunikacija poteka po betonskih enoramnih stopnicah, v priloženih načrtih so stopnišče premaknil s čemer se pridobi več notranjega prostora in bolje organizira.     Pogoj prodajalca za sklenitev posla:   Kupec plača davek na promet nepremičnin v višini 2 % prodajne cene. "
"1.990.000,00",ROŽNA DOLINA,619,1992,Hiša, Samostojna,"Stoja trade, d.o.o., Ljubljana ","Prostorna hiša prilagojena za medicinsko dejavnost z uporabnim dovoljenjem se nahaja na atraktivni lokaciji,  oddaljena je cca 1,5 km iz centra ter  v neposredni bližini Tivoli parka.  Hiša ima 3 etaže in ima zelo razgiban tloris, parkirni prostor za 6 osebnih vozil.  Prostroska zasnova: več ordinacijskih sob, stanovanje v vrhnji etaži, vadbeni prostor, telovadnica, notranja kavarna in jedilnica, masažni del  s savno.  Primerna za razne ordinacijske dejavnosti (ginekologija, plastična kirurgija, skratka vse ambulantne dejavnosti).   Vsa infrastruktura je v neposredni bližini. Vabljeni k ogledu.  Pogoj lastnika za sklenitev posla: Kupec plača davek na promet nepremičnin v višini 2 % prodajne cene."
"349.000,00","BTC, ŠMARTNO OB SAVI","136,4",2022,Hiša, Dvojček,"Stoja trade, d.o.o., Ljubljana ","Prodamo izredno kvalitetno in moderno zasnovan nizkoenergijski dvojček na mirni in zeleni lokaciji v gradnji. Na voljo bosta dva dvojčka, torej skupno 4 enote, ki bodo za oglaševano ceno dokončane do III. podaljšane gradbene faze (okna, fasada, streha, dovozi in osnovna ureditev okolice). Objekta bosta locirana v bližini LPP avtobusne postaje (cca. 500 m št. 12), nogometnega igrišča, sprehajalno-kolesarskih poti z napravami za rekreacijo ter igrali ob Savi. Do šole (Nove Jarše) pa je cca. 1.300 m, pri čemer šolski avtobus pobira otroke cca. 30 m od hiše.    Hiše bodo izredno kvalitetno in klasično grajene s Styrodur izolacijo pod temeljno ploščo (10 cm) ter 20 cm EPS (stiropor) fasadne izolacije v kombinaciji z lesenimi oblogami. Streha bo ravna s 30 cm toplotne izolacije in PVC folijo z nasutim rečnim prodcem. Balkonske oz. terasne ograje bodo izvedene iz kaljenega stekla, panoramska okna bodo 3-slojna s Schüko profili z žaluzijami (krpanke) na elektro pogon, vhodna vrata pa proizvajalca Pirnar v ALU izvedbi. Dovoze z dostopi do glavnih vhodov   bodo krasile tlakovane plošče velikega formata. Zunanje ograje bodo kombinacija 3D žičnih panelov in gabionov polnjenih s kamenjem.     Hiše bodo imele predpripravo za gretje preko toplotnih črpalk in prezračevanjem z rekuperacijo. Višina stropov v pritličju je predvidena na 2,75 m, v nadstropju pa na 2,60 m. Dokončanje do 3. podaljšane faze pa je predvideno do meseca maja 2022.     Funkcionalna razporeditev prostorov obsega pritličje, kjer je lociran izredno prostoren dnevno-bivalen poslovni prostor (cca. 50 m2) s kuhinjo, jedilnico ter izhodi na pokrito teraso z zelenico, tehnični prostor in dnevne sanitarije. Nadstropje pa obsega galerijo, utiliti, dve mladinski sobi z lastno kopalnico ter glavno spalnico z lastno kopalnico in walk-in garderobo, pri čemer imata ena od otroških sob ter glavna spalnica izhoda na skupno teraso (cca. 13 m2).     Vsaki hiši bodo pripada 4 parkirna mesta, možna je tudi izvedba na ključ po dogovoru z investitorjem. Kupec ne plača provizije, oglaševana cena pa je za eno enoto št. A2 in že vključuje 9,5% ddv, vabljeni k ogledu! "
"630.000,00","ROŽNA DOLINA, BLIŽINA CENTRA, DVE LOČENI STANOVANJI, VSAKO S SVOJIM VHODOM",250,1976,Hiša, Samostojna,"Agencija za posredovanje v prometu z nepremičninami, Aline Belinger s.p. ","Samostojna hiša v Rožni dolini v treh etažah V mirni slepi ulici prodamo dvostanovanjsko hišo v dveh etažah z dvemi ločenimi stanovanji, vsako s svojim vhodom in el. števcem.  Površina hiše/zemljišča  Hiša skupne površine  250 m2 (tloris etaže cca. 90 m2), leži na zemljišču v izmeri 448 m2,  Razporeditev prostorov:  Visoko pritličje  Obsega: predprostor, kopalnico, wc, kuhinjo z jedilnico in teraso, dnevno sobo z izhodom na večjo teraso, kabinet, ter dve spalnici – vsaka z izhodom na balkon.  Nadstropje: stanovanje v nadstropju ima popolnoma ločen vhod v zgornje nadstropje kjer je drugo stanovanje, ki obsega predprostor, kopalnico, wc, kuhinjo z jedilnico, dnevno sobo z izhodom na večjo teraso, kabinet, ter dve spalnici – vsaka z izhodom na balkon.  Klet: V kletnih prostorih vsakemu stanovanju pripada ena soba, ostali prostori pa obsegajo skupno sušilnico, kurilnico in garažo za en avtomobil.  Parkiranje: za eno vozilo v garaži oz. možnost parkiranja pred hišo.  Prenova Hiša je v prvotnem stanju. Streha je bila zamenjana leta 2006.  Priključki: optika, kanalizacija, elektrika, voda, mestni plin (priključek na parceli)  Ogrevanje centralno na kurilno olje.  Lokacija in infrastruktura  V bližini vsa potrebna infrastrukura (MPP, trgovina, šola, vrtec, lekarna, zdravstveni dom) in veliko zelenih površin (Rožnik, PST, živalski vrt).  Dodatno  Možnost prodaje po delih (dve enoti). Hiša je vseljiva en mesec po plačilu celotne kupnine.  Vpisano v ZK. Brez bremen.  Ponudbeni pogoj:: kupec je dolžan povrniti del stroška prodaje v višini 2%, obračunano od pogodbene vrednosti.  Za termin za ogled se naročite po mailu: aline@ab-nepremicnine.si  Vabljeni na ogled!"
"639.000,00","ROŽNA DOLINA, BLIŽINA SANATORIJA",100,2014,Hiša, Samostojna,Zasebna ponudba,"Hiša zajema stanovanje za lastnike in dodatno, popolnoma ločeno, moderno opremljeno garsonjero. Hiša je lahko tudi donosna naložba, v smislu odaje, airbnb posla...Ima novo fasado, nova okna, odločno izolirana, klimatizirana...Ob hiši je nov nadstrešek za dva avtomobila, garaža in idiličen zelen vrt. Vsi priključki, CK, plinovod, optika, možnost nadgradnje dodatne etaže z dvemi stanovanji in dozidava prizidka, idejni načrti že narisani.Bližina vse infrastrukture peš. Center peš 15 min, Tivoli 10 min, Rožnik 5m trgovina in LPP 2min, zdravstveni dom 7 min, šola, vrtec in pošta, vse v neposredni bližini. Brez posrednikov"
"344.000,00","ROŽNA DOLINA, BLIŽINA Z. D. VIČ",305,1957,Hiša, Dvojček,Kvadratni meter d.o.o. ,"Razporeditev;   Prizidek: Klet; velika garaža čez celo etažo, V. Pritličje; kuhinja, WC z tušem, soba z izhodom na teraso, 1. Nad; kopalnica z WC, 2*soba (iz ene sobe je prehod v stari del del hiše v veliko sobo) Stari del hiše;  Klet, V. Pritličje (od drugega lastnika), 1. Nad; 2-sobno stan. (iz velike sobe prehod v prizidek) Mansarda (delno izdelana, malo nižja) "
"344.000,00","ROŽNA DOLINA, BLIŽINA Z. D. VIČ",390,1957,Hiša, Dvostanovanjska,Kvadratni meter d.o.o. ,"Razporeditev;   Prizidek: Klet; velika garaža čez celo etažo, V. Pritličje; kuhinja, WC z tušem, soba z izhodom na teraso, 1. Nad; kopalnica z WC, 2*soba (iz ene sobe je prehod v stari del del hiše v veliko sobo) Stari del hiše;  Klet, V. Pritličje (od drugega lastnika), 1. Nad; 2-sobno stan. (iz velike sobe prehod v prizidek) Mansarda (delno izdelana, malo nižja)"
"344.000,00","ROŽNA DOLINA, VIČ",390,1957,Hiša, Dvostanovanjska,Kvadratni meter d.o.o. ,"hiša ni samostojna, (1) enota prizidek je samostojen in se drži hiše v kateri se prodaja (2) enota v 1. nadstropju  1 enota je opremljena in vseljiva, 2 enota pa potrebna adaptacije,  nahaja se v bližini centra Ljubljane, Tivolija in Rožnika. Pogoj nakupa: stroški provizije za opravljeno storitev posredovanja se razdelijo na način, da kupec plača provizijo v višini 2% +DDV."
"cca 799.000,00",RUDNIK,"178,2",2010,Hiša, Samostojna,Zasebna ponudba,"Hiša ima odlično lokacijo!   V okolici je vsa potrebna infrastruktura (Nakupovalno središče Supernova, vrtec, šola, avtobusna postaja, ki se nahaja na začetku ulice, Pst,... ). Poleg  tega vam lokacija omogoča našteto možnosti za rekreacijo in zagotavlja večjo kvaliteto življenja. Hiša se nahaja na zemljišču v izmeri 450 m2, ki je v celoti ograjeno in varovano z nadzornimi kamerami, ter vgrajenimi alarmnimi sistemi. Hiša je nadstandardno opremljena in lepo vzdrževana. Oprema in materiali v hiši so višjega in visokega cenovnega razreda. Pohištvo je izdelano po meri. Tla so prekrita s keramiko visoke kvalitete, blagovne znamke Valentino, kar omogoča boljše in lažje čiščenje. Toplotna črpalka - talno ogrevanje ponuja izjemno ugodje in tudi prihranek. Hiša zagotavlja bivanje v prijetnem ambientu, saj ima veliko svetlobe. V pritličju se nahaja toaletni prostor, shramba, utility, ki ima dodatna izhodna-vhodna vrata in velik, svetel in odprt bivalni prostor s kuhinjo in jedilnim kotom. Velika okna, ki se drsno odpirajo ponujajo poleti izhod na dvorišče z nadstreškom in lesenim podom. V drugi etaži se nahaja spalnica s teraso, kopalnica, ter tri otroške sobe. Na vrhu je še podstrešje, ki nam služi kod dodatna shramba. ZASEBNA PONUDBA! Pogoj lastnika pri prodaji: Kupec plača davek na promet nepremičnin v višini 2% prodajne cene."
"699.000,00",RUDNIK,182,2021,Hiša, Dvojček,Aion d.o.o. ,"Hiša ustreza najnovejšim trendom bivanja in je zgrajena v skladu z najnovejšimi standardi energijske varčnosti in potresne varnosti.   *Vila je dvostanovanjska, kot nadstandardni dvojček.   ** Nadstrešek še ni izveden, temelji in asfalt pripravljeni.   Sosesko odlikuje premišljena umestitev v prostor mirne soseske Trnovskega predmestja, ki omogoča popolno zasebnost bivanja ob hkratnem zlitju z okoliškim zelenjem.   Prostori z ogromnimi steklenimi površinami omogočajo realizacijo različnih zahtev zahtevne družine tako zunaj kot znotraj.  Gradbeni inženiring aion doo, ponudnik nepr. stratuspro doo, 1000 Ljubljana. Slike so simbolične."
"570.000,00",RUDNIK,190,2020,Hiša, Dvojček,Rocco nepremičnine d.o.o. ,"Enoti funkcionirata kot dvojček. Vsako od enot obdaja lep kos zemljišča. Tloris nepremičnine je domiselno zasnovan, saj  nudi na skupno 190 m2 po enoti zelo lepe prostore. Zlasti dnevni prostor, ki se razprostira po pritličju skupaj s kuhinjo in jedilnico, tvori zaokrožen enoviti prostor ki lepo harmonično resonira z okolico, saj ga obdaja obilica oken, zato je v prostoru vedno dovolj svetlobe. Bolj pri vhodu se nahajata kabinet in dnevna toaleta. V pritličju je prostora za 76 m2 Iz pritličnega dela se dvignejo lahkotne in zračne stopnice v prvo nadstropje, ki je namenjeno spalnemu delu. Poleg dveh otroških sob s skupno kopalnico in skupnim balkonom, se v nadstropju nahaja glavna spalnica s svojo prostorno kopalnico in svojim zasebnim balkonom. Posebnost spalnice je, da ima izredno visok strop, kar rezultira v vertikalno dinamiko prostora in daje prostoru izredno zračnost in svetlobo.  Skupno lahko namerimo v nadstropju nekje 74 m2 Iz nadstropja je moč dostopati do mansardnega dela, ki je v večji meri pohoden in tvori lep, dinamičen prostorski element. Idealno za mlajše člane družine, ki bodo znali izkoristiti prav vsak kvadratni meter prostora.  Kvadratura mansardnega dela je nekje 40m2 Objekt je inovativno zasnovan, saj je zgrajen po metodi križno lepljenega lesa – CLT (podjetja alfa natura) na  betnoskem temelju, ki je skrbno pilotiran v podlago, kar daje objektu lahkost, prožnost in čvrstost, saj na sodoben način lepljen les nudi visoko protipotresno varnost in kvaliteto bivanja, brez odvečnih nezdravih dodatkov, ki često pristanejo v betonskih zgradbah. Za idealno statično in dinamično stabilnost skrbijo tudi jekleni profili. Omeniti je potrebno še, da je objekt prezračevan z rekuperacijo in ogrevan na plinsko peč, ki skrbi za talno ogrevanje. Dobrodošel dodatek je vertikala za perilo in vodovod na terasi, ki je namenjen za letno kuhinjo. K enoti sodi lepa veranda s letno kuhinjo, nadstrešek za dve vozili, ter shramba kot podaljšek garaže – nadstreška ali uta za orodje. Lokacije je ravno prav oddaljena od mestnega vrveža in ob enem še vedno blizu vse infrastrukture, ki si je sodobni rezident Ljubljane nadeja.  Če iščete sodobno, lično, hišo-dvojčka na lepi mirni lokaciji nas kontaktirajte in z veseljem vam nudimo naše storitve posredovanja. Vabljeni na ogled."
"570.000,00",RUDNIK,"191,98",2019,Hiša, Dvojček,"STAN nepremičnine d.o.o., Ljubljana ","Novozgrajeni Vili Ižanka sta zasnovani za ljudi, ki želijo biti blizu središča dogajanja, in hkrati uživati v zavetju mirne narave. Le nekaj minut hoje ali vožnje s kolesom sta oddaljeni od centra Ljubljane, nahajata se na Ižanski cesti znotraj AC obroča. Premišljena zasnova in prostornost obeh hiš zagotavljata udobno bivanje veččlanske družine. V pritličju se razprostira svetel in odprt prostor, ki združuje kuhinjo in dnevno sobo, zunaj pa se udobje nadaljuje na veliki leseni terasi. Zgornji prostori so individualni, v njih lahko vsak družinski član najde svoje oazo miru. Arhitekturno dovršenost objektov, ki so ju zasnovali s Plečnikovo medaljo nagrajeni arhitekti iz biroja Jereb in Budja arhitekti d.o.o., poudari lesena gradnja, ki zagotavlja višjo kakovost in udobje bivanja. Investitor je pri oblikovanju tehničnih rešitev in izboru materialov v ospredje vselej postavil kakovost in uporabnost. Ob hišah je urejena tudi zunanjost – lesen nadstrešek ob vhodu omogoča parkiranje dveh avtomobilov, urejena je tudi zunanja shramba za kolesa, smuči ipd., na drugi strani pa se lesena konstrukcija nadaljuje v teraso, ob kateri je pripravljena tudi niša za letno kuhinjo. Tehnični podatki: Hiša je dokončana, vgraditi je treba le keramiko, parket in vrata, kar pa je prepuščeno kupcu. Kontaktna fasada iz mineralne volne in s finalnim silikonskim slojem Jubizol Silicone finish, ter delom segmentov s fasado sibirskega macesna Strešna kritina Bramac Tegalit, skriti žlebovi z vgrajenimi ogrevalnimi kabli Ogrevanje na plin – urejene instalacije in talno gretje, regulirano preko termopogonov – pametni dom Rekuperacija oz. prisilno prezračevanje Vgrajene kakovostne žaluzije na elektromotorje Instaliran pametni dom Entialiving Lesena okna s troslojno zasteklitvijo Zunanje okenske police iz prašno barvane pločevine Ogrevanje žlebov Uporabna vertikala za perilo iz nadstropja do utility-ja Vodovod v letni kuhinji Alarmni sistem s senzorji in centralo Napeljane elektro instalacije, pripravljene za montažo svetil Šibkotočne instalacije so zaključene v šibkotočni elektro omari na mestu domače pisarne Konstrukcije zunanjih ograj so vročecinkane in prašno barvane, polnilo predstavlja INOX mreža za ograje Urejena okolica: zunanja shramba, nadstrešek za avtomobile, terasa z varnostno ograjo, zazelenitev Komunalna ureditev: padavinska kanalizacija je speljana v melioracijski jarek ob parceli fekalna kanalizacija je speljana v skupno MKČN za obe enoti, na območju je v prihodnje planirano tlačno kanalizacijsko omrežje na sosednji parceli je urejen vodovodni inštalacijski jašek s števcem za daljinsko odčitavanje telekomunakcijska cev je pripeljana v objekt, na območju je prisoten ponudnik Telekom Slovenije Objekta sta naprodaj v 4. podaljšani gradbeni fazi z urejeno zunanjo ureditvijo in priključki, pripeljanimi v objekt.  Prevzem možen takoj. Nudimo pomoč pri urejanju kredita. Več informacij pridobite na povezavi http://www.vili-izanka.si/. V agenciji Stan nepremičnine vam ponujamo BREZPLAČEN POSVET pri prodaji vaše nepremičnine in nakupu nepremičnine, ki najbolj ustreza vašim željam in življenjskem slogu. Stopite v stik z nami in si rezervirajte vam ustrezen termin. "
360.000,RUDNIK,"218,7",1975,Hiša, Dvojček,"BAZA, posredovanje v prometu z nepremičninami, Brina Sotlar s.p. ","OGLASU JE PRILOŽENA VIZUALIZACIJA POTENCIALNE PREUREDITVE NOTRANJIH PROSTOROV. V Ljubljani, na izjemni in zaželeni lokaciji (Rudnik) prodamo enoto hiše dvojčka, ki se nahaja na zemljišču velikosti 297 m2. V bližini je avtobusno postajališče, PST, vrtec, osnovna šola, lokacija prav tako nudi tudi hiter dostop do nakupovalnega središča Rudnik in AC obroča. Hiša obsega pritličje, nadstropje in mansardo, prostori so orientirani proti SZ, SV in JV. V pritličju se nahajajo hodnik s stopniščem, garaža, WC s kurilnico, shramba ter dve sobi. Nadstropje obega hodnik, kopalnico s kadjo, veliko kuhinjo z jedilnico in balkonom, dnevno sobo z balkonom in spalnico. V mansardi so hodnik, kopalnica s kadjo, dve večji sobi (ena z balkonom) ter delovna soba / kabinet.      Pred hišo je tlakovano dvorišče z dvemi parkirnimi mesti, za hišo je ozelenjen atrij. Hiša je potrebna prenove, kritina je bila menjana cca. 15 let nazaj. Prostori so dobro razporejeni in, na račun velike površine oken, izjemno svetli. Priključki: elektrika, voda, internet, ogrevanje je na kurilno olje, za odpadne vode je greznica. Možna je priključitev na javno kanalizacijsko omrežje, prav tako se v bližini nahaja mestni plin. POGOJ PRODAJE: Pogoj lastnika nepremičnine je, da kupec, v primeru realizacije prodaje/nakupa nepremičnine, plača davek na promet z nepremičninami, v višini 2% od pogodbeno dogovorjene prodajne vrednosti nepremičnine. V primeru zanimanja nas kontaktirajte; agentka Tamara Gostiša, Tel: 00386-40-452-362, E-mail: tgostisa@bazarealestate.com. Lepo vabljeni k ogledu."
"349.000,00","BTC, ŠMARTNO OB SAVI","136,4",2022,Hiša, Dvojček,"Stoja trade, d.o.o., Ljubljana ","Prodamo izredno kvalitetno in moderno zasnovan nizkoenergijski dvojček na mirni in zeleni lokaciji v gradnji. Na voljo bosta dva dvojčka, torej skupno 4 enote, ki bodo za oglaševano ceno dokončane do III. podaljšane gradbene faze (okna, fasada, streha, dovozi in osnovna ureditev okolice). Objekta bosta locirana v bližini LPP avtobusne postaje (cca. 500 m št. 12), nogometnega igrišča, sprehajalno-kolesarskih poti z napravami za rekreacijo ter igrali ob Savi. Do šole (Nove Jarše) pa je cca. 1.300 m, pri čemer šolski avtobus pobira otroke cca. 30 m od hiše.    Hiše bodo izredno kvalitetno in klasično grajene s Styrodur izolacijo pod temeljno ploščo (10 cm) ter 20 cm EPS (stiropor) fasadne izolacije v kombinaciji z lesenimi oblogami. Streha bo ravna s 30 cm toplotne izolacije in PVC folijo z nasutim rečnim prodcem. Balkonske oz. terasne ograje bodo izvedene iz kaljenega stekla, panoramska okna bodo 3-slojna s Schüko profili z žaluzijami (krpanke) na elektro pogon, vhodna vrata pa proizvajalca Pirnar v ALU izvedbi. Dovoze z dostopi do glavnih vhodov   bodo krasile tlakovane plošče velikega formata. Zunanje ograje bodo kombinacija 3D žičnih panelov in gabionov polnjenih s kamenjem.     Hiše bodo imele predpripravo za gretje preko toplotnih črpalk in prezračevanjem z rekuperacijo. Višina stropov v pritličju je predvidena na 2,75 m, v nadstropju pa na 2,60 m. Dokončanje do 3. podaljšane faze pa je predvideno do meseca maja 2022.     Funkcionalna razporeditev prostorov obsega pritličje, kjer je lociran izredno prostoren dnevno-bivalen poslovni prostor (cca. 50 m2) s kuhinjo, jedilnico ter izhodi na pokrito teraso z zelenico, tehnični prostor in dnevne sanitarije. Nadstropje pa obsega galerijo, utiliti, dve mladinski sobi z lastno kopalnico ter glavno spalnico z lastno kopalnico in walk-in garderobo, pri čemer imata ena od otroških sob ter glavna spalnica izhoda na skupno teraso (cca. 13 m2).     Vsaki hiši bodo pripada 4 parkirna mesta, možna je tudi izvedba na ključ po dogovoru z investitorjem. Kupec ne plača provizije, oglaševana cena pa je za eno enoto št. A1 in že vključuje 9,5% ddv, vabljeni k ogledu! "
"679.000,00",RUDNIK,"240,1",1995,Hiša, Vrstna,"ELARS Nepremičnine, Elvis Beganović s.p. ","Posredujemo pri prodaji vrstne hiše. Nahaja se na dobri lokaciji z vso infrastrukturo v neposredni bližini (trgovine, šola, avtobusno postajališče, pošta, banka).  Hiša je sestavljena iz treh etaž (P+1+M), obsega bruto 240,10 m2 in neto 135,50 m2 površine.  Prostorska zasnova:  Pritličje: vhod, predprostor, kopalnica, prostor za savno in pisarna  Nadstropje: odprta dnevna soba z izhodom na lepo urejen in prostoren vrt, wc, kopalnica, kuhinja in jedilnica z izhodom na balkon.  Mansarda: 3 spalnice, kopalnica in wc.  Zemljišče v velikosti 1033 m2. Na vrtu je postavljen bazen in prostor za letno kuhinjo.  Lokacija ponuja veliko možnosti za sprehode ter preživljanje prostega časa v naravi.  Hiša se nahaja v mirnem naselju hiš le nekaj minut od centra mesta.   Vabimo vas, da pokličete ali naslovite elektronsko sporočilo nepremičninskemu agentu, ki je naveden v oglasu. Z veseljem vam bomo odgovorili na dodatna vprašanja, se z vami dogovorili za ogled nepremičnine in vam svetovali pri nakupu nepremičnine. "
"570.000,00",RUDNIK,278,2018,Hiša, Dvojček,"Stoja trade, d.o.o., Ljubljana ","NOVOGRADNJA    Sodoben dom, zasnovan za dinamične ljudi, ki želijo biti blizu središča dogajanja, in hkrati uživati v zavetju mirne narave.     Hiša ima 191m2 bivalne površine.     Etažnost je P+1, z zasebnostjo in osončenostjo. Nadstrešnica omogoča parkirni prostor za dve vozili, servisni prostori zunanje shrambe in prostor za smeti, na hrbtni strani nadstrešnice pa je pripravljena tudi niša za letno kuhinjo, ki se navezuje na odprto zunanjo teraso.     Vhod v objekta je urejen z južne strani poleg nadstrešnice za avtomobile. Zunanji leseni ovoj objekta formira prehod na višji nivo pritličja, kjer se po celotni dolžini pred bivalnimi prostori razprostira zunanja pokrita površina, v nadstropju pa je balkon pred spalnimi prostori.     V pritličju (76,25m2) se skozi vhodni predprostor mimo zaprtega osrednjega servisnega dela vstopa v osrednji del hiše, velik odprt bivalni prostor, ki se odpira na teraso in vrt. Poleg glavnega vhoda je umeščena manjša delovna soba/kabinet, kar omogoča stanovalcem ureditev domače pisarne.     Nadstropje (74,57m2) je v celoti namenjeno spalnim prostorom. Dve otroški sobi imata svojo kopalnico, na jugu je glavna spalnica, ki je od ostalih sob locˇena z večjo kopalnico in garderobo. Spalni prostori v nastropju imajo dostop na odprt pokriti balkon, glavna spalnica ima svoj ločen balkon.     Mansarda je odprta in še enizdelana v izmeri cca 40m2.     Velik vrt, ki se nadaljuje za leseno teraso, omogoča oblikovanje različnih ambientov za prijetno preživljanja prostega časa v naravi, sončenje, branje, kuhanje itd.     Nepremičnina se prodaja v IV GF. "
"540.000,00",RUDNIK,300,1971,Hiša, Samostojna,LJUBLJANA NEPREMIČNINE d.o.o. ,"Posredujemo pri prodaji samostojne hiše, zgrajene leta 1971. Stoji na parceli veliki 650m2.  Nahaja se v mirnem delu Rudnika pod Golovcem. Hiša je v prvotnem stanju in zelo dobro ohranjena. V pritličju so servisni prostori (delavnica/garaža, kurilnica),  v prvem nadstopju in mansardi pa dnevno bivalni prostori in spalnice, z balkoni. Okoli je velik urejen vrt, ter lopa za drva.  Hiša je primerna za takojšnjo vselitev, ali kot investicija za oddajanje, lahko pa tudi izgradnjo dvojčka.  Mirna lokacija,ki omogoča hiter dostop do zelenih površin Golovca kot tudi AC priključka in trgovskega centra Rudnik.  Vabljeni k ogledu.  Ponudbeni pogoj prodajalca je, da kupec plača del stroškov za nepremičninsko posredovanje in sicer 2% + DDV od pogodbene prodajne vrednosti.  "
"879.000,00",RUDNIK,325,1992,Hiša, Samostojna,Svet Real d.o.o. ,"Posredujemo pri prodajičudovite družinske hiše zgrajene l.1992 v neposredni bližini centra Ljubljane. Velikost hiše je 325m2.    Hiša ponuja izredno udobje saj z svojo razporeditvijo prostor nudi sledeče:  pritličje: predprostor, velik dnevno-bivalni del z jedilnico in kuhinjo, s katerega je dostop do velike bivalne terase, delavni kabinet, toaleta za goste, velika garaža, kotlovnica ter shramba 	zgornja etaža: spalnica z ločenim garderobnim delom ter lastno kopalnico, 2 otroški sobi, kopalnica z veliko kopalno kadjo, toaletni prostor, prostoren utility ter fitnes kotiček. Zemljišče meri 880m2 in je v celoti ograjeno z visoko ozelenelo ograjo in posejanimi drevesi. Na samem zemljišču sta tudi premišljeno umeščeni 2 zidani večnamenski vrtni lopi, ter nadstrešek za 2 osebna avtomobila.  Hiša je grajena standardno (opečni modularni blok, debelina zunanjih zidov je 20cm in dodatnih 10cm izolacije (trdi stiropor), izolacija zgornje etaže je 20cm kamena volna (Krka Novo Mesto),  strešna kritina Gerard. Stavbno pohištvo, klasična 2- slojna okna, betonske medetažne plošče. Oprema je višjega kakovostnega razreda ter po večini ostane in je vključena v ceno.  Urejeni so vsi potrebni priključki (elektrika, vodovod, telekomunikacije, kanalizacijsko omrežje), za ogrevanje poskrbi plinska peč, možnost je tudi dodatnega ogrevanja z kaminom na trda goriva.  Hiša se nahaja v neposredni bližini centra Ljubljane, na Jurčkovi cesti. Lokacija je idealna za vse, ki cenijo bližino sprehajalnih poti in narave ob enem pa si želijo stik z urbanim dogajanjem. Hiša se ponaša z odlično infrastrukturo, nadstandardnim bivanjem, veliko mero zasebnosti in miru ter hkrati tudi vrhunsko udobje.  ZK stanje urejeno - brez bremen, prevzem možen po dogovoru. "
